emp_no,first_name,last_name,to_date
10538,Przemyslawa,Falby,1998-12-13
10538,Przemyslawa,Falby,1991-09-22
10541,Godehard,Eiter,1986-10-01
10548,Ramalingam,Gunderson,9999-01-01
10548,Ramalingam,Gunderson,1991-10-04
10564,Jianhao,Thisen,9999-01-01
10575,Theirry,Yeung,2000-11-22
10591,Hidde,Hettesheimer,1988-09-20
10608,Adhemar,Talmor,1991-06-02
10617,Hidekazu,Angel,2001-10-03
10623,Aleksander,Danlos,1996-02-11
10623,Aleksander,Danlos,9999-01-01
10628,Krisda,Krogh,9999-01-01
10629,Lalit,Francisci,2001-12-07
10631,Inderjeet,Chaudhuri,9999-01-01
10642,Hirochika,Narlikar,9999-01-01
10653,Otmar,Feinberg,9999-01-01
10671,Parviz,Rebaine,9999-01-01
10672,Bluma,Zeilberger,1996-04-19
10676,Valeri,Danley,9999-01-01
10693,Berhard,Daescu,9999-01-01
10694,Rildo,Straney,2001-07-11
10702,Bader,Szemeredi,9999-01-01
10718,Adib,Rullman,9999-01-01
10726,Zita,Minakawa,9999-01-01
10731,Fumitaka,Peak,2000-10-09
10734,Sachar,Erdi,9999-01-01
10745,Poorav,Ranze,9999-01-01
10749,King,Brendel,9999-01-01
10751,Jordanka,Ushiama,2000-12-05
10767,Monique,Doering,9999-01-01
10768,Ishfaq,Candan,9999-01-01
10777,Mizuhito,Kemmerer,2001-03-27
10778,Selwyn,Merey,9999-01-01
10791,Tadahiko,Sgarro,9999-01-01
10795,Supot,Naudin,9999-01-01
10803,Katsuyuki,Velasco,2002-04-02
10808,Chenxi,Leijenhorst,9999-01-01
10835,Tomoyuki,Kermarrec,9999-01-01
10836,Jianhua,Leivant,1991-07-01
10836,Jianhua,Leivant,9999-01-01
10844,Dipayan,Koprowski,9999-01-01
10847,Theirry,Danley,9999-01-01
10848,Fen,Bratsberg,9999-01-01
10867,Billur,Gyorkos,2002-03-22
10878,Lakshmi,Deville,9999-01-01
10879,Muzhong,Chleq,9999-01-01
10883,Shimshon,Champarnaud,9999-01-01
10895,Vishwani,Petersohn,1986-12-25
10895,Vishwani,Petersohn,1987-04-13
10909,Georgi,Atchley,9999-01-01
10912,Oscal,Fasbender,1999-09-26
10918,Susumu,Reghbati,1990-10-10
10921,Mara,Bahi,9999-01-01
10924,Hironoby,Atchley,9999-01-01
10927,Gal,Scallan,9999-01-01
10936,Mountaz,Schicker,9999-01-01
10943,Berna,Skafidas,9999-01-01
10965,Eckart,Braunschweig,9999-01-01
10969,Premal,Noriega,9999-01-01
10974,Muneo,Papsdorf,9999-01-01
10986,Masako,Schiper,9999-01-01
10988,Chinya,Deyuan,9999-01-01
10989,Sumali,Candan,9999-01-01
10990,Shin,Foote,9999-01-01
11009,Alper,Axelband,9999-01-01
11012,Taegyun,Speckmann,2000-03-16
11012,Taegyun,Speckmann,9999-01-01
11019,Leon,Huttel,9999-01-01
11021,Srinidhi,Henders,9999-01-01
11027,Remzi,Cappello,9999-01-01
11028,Miyeon,Krider,1997-09-04
11031,Ottavia,Walstra,9999-01-01
11037,Lansing,Maliniak,9999-01-01
11038,Jinya,Beidas,9999-01-01
11042,Gou,Breugel,9999-01-01
11048,Jaques,Demke,9999-01-01
11050,Elvis,Katiyar,9999-01-01
11051,Przemyslawa,Erol,9999-01-01
11070,Adib,Raney,9999-01-01
11081,Barry,Boyle,9999-01-01
11085,Hailing,Thummel,9999-01-01
11100,Berna,Cochrane,9999-01-01
11106,Aris,Iwayama,9999-01-01
11110,Valeska,Birjandi,1992-03-30
11110,Valeska,Birjandi,1988-09-23
11112,Boaz,Mukaidono,9999-01-01
11113,Shahab,Peng,9999-01-01
11121,Vugranam,Kakkad,9999-01-01
11133,Nalini,Azulay,9999-01-01
11134,Sachar,Rajcani,9999-01-01
11137,Hugh,Luca,9999-01-01
11139,Bogdan,Homond,9999-01-01
11146,Ishfaq,Masand,9999-01-01
11148,Zhanqiu,Botman,1991-12-12
11148,Zhanqiu,Botman,9999-01-01
11162,Kauko,Narlikar,9999-01-01
11180,Mitsuyuki,Bojadziev,9999-01-01
11197,Tadahiro,Fordan,9999-01-01
11203,Sakthirel,Yetto,1996-06-15
11204,Diederik,Covnot,9999-01-01
11207,Saeed,Gips,9999-01-01
11208,Saniya,Valtorta,9999-01-01
11211,Yurij,Rissland,9999-01-01
11217,Kellie,Mawatari,9999-01-01
11232,Hidefumi,Crelier,9999-01-01
11240,Kiam,Condotta,9999-01-01
11249,Randi,Cyre,9999-01-01
11251,Bezalel,Chinal,9999-01-01
11268,Aimee,Petersohn,9999-01-01
11275,Hitomi,Eppinger,9999-01-01
11290,Visit,Dredge,9999-01-01
11291,Gino,Glowinski,2001-04-15
11295,Abdelkader,Lanzelotte,9999-01-01
11319,Pranas,Marrakchi,9999-01-01
11320,Atilio,McAlpine,9999-01-01
11322,Nathalie,Pocchiola,9999-01-01
11324,Kauko,Billingsley,9999-01-01
11338,Kwangsub,Hanratty,9999-01-01
11339,Flemming,Massonet,9999-01-01
11347,Anneli,Jonsson,9999-01-01
11365,Toshimi,Shinomoto,9999-01-01
11376,Valery,Suomi,9999-01-01
11380,Kenroku,Pelc,9999-01-01
11385,Shiv,Ullian,9999-01-01
11386,Alselm,Assaf,9999-01-01
11393,Junsik,Junot,9999-01-01
11398,Oscar,Peir,9999-01-01
11404,Bedrich,Borovoy,9999-01-01
11415,Sanjiv,Anido,9999-01-01
11421,Josyula,Msuda,9999-01-01
11431,Youngkon,Picht,2001-03-03
11441,Marlo,Aingworth,9999-01-01
11449,Kotesh,Asser,9999-01-01
11459,Duke,Suomi,9999-01-01
11461,Kish,Cronau,1997-07-20
11469,Guttorm,Giaccio,9999-01-01
11477,Fox,Narahari,1996-09-12
11501,Karsten,Ranum,2002-03-20
11506,Rance,Picel,9999-01-01
11509,Aleksander,Feldhoffer,9999-01-01
11513,Otmar,Mahnke,9999-01-01
11515,Ulf,Basawa,9999-01-01
11518,Jinxi,Oxman,9999-01-01
11524,Xiadong,Standera,9999-01-01
11527,Alagu,Boyle,9999-01-01
11528,Zito,Dolinsky,9999-01-01
11537,DAIDA,Pehl,9999-01-01
11554,Subhash,Taubenfeld,9999-01-01
11554,Subhash,Taubenfeld,1999-02-21
11555,Kotesh,Perfilyeva,9999-01-01
11562,Rimli,Alencar,1994-12-13
11567,Teiji,Mitzlaff,9999-01-01
11568,Martins,Fujisaki,9999-01-01
11578,Edwin,Rosti,2002-02-17
11588,Kaijung,Panangaden,1995-06-12
11603,Herb,Swen,9999-01-01
11607,Tomokazu,Foong,9999-01-01
11615,Shem,Isaak,9999-01-01
11624,Adil,Gammage,9999-01-01
11628,Fan,Malinowski,1995-04-23
11628,Fan,Malinowski,9999-01-01
11640,Valeri,Coorg,9999-01-01
11647,Magy,Nitsche,9999-01-01
11660,Gill,Stenning,9999-01-01
11673,Henk,Felder,9999-01-01
11676,Valeri,Ferriere,9999-01-01
11681,Fumitake,Benzmuller,9999-01-01
11684,Oksana,Gide,9999-01-01
11696,Dante,Rothe,9999-01-01
11705,Arve,Hofmeyr,1990-04-06
11705,Arve,Hofmeyr,1994-06-30
11732,Sanjoy,Ranft,2002-07-12
11732,Sanjoy,Ranft,9999-01-01
11735,Amalendu,Picci,9999-01-01
11738,Tadahiro,Lichtman,1995-06-27
11746,Koichi,Marrakchi,9999-01-01
11747,Aksel,Kossowski,1999-01-16
11751,Jiafu,Emiris,9999-01-01
11764,Sanjay,Anick,9999-01-01
11769,Chandrasekaran,Lampe,9999-01-01
11769,Chandrasekaran,Lampe,1999-04-18
11772,Gaurav,Penz,9999-01-01
11797,Chenxi,Thambidurai,9999-01-01
11797,Chenxi,Thambidurai,1996-09-28
11805,Rosine,Grandbois,1991-02-05
11810,Amabile,Bhattacharjee,9999-01-01
11813,Gita,Muhlberg,1991-07-20
11817,Niranjan,Markovitch,9999-01-01
11832,Arto,Zlotek,9999-01-01
11838,Taiji,Nitta,1991-05-09
11844,Shawna,Demeyer,9999-01-01
11853,Zeljko,Kusakabe,9999-01-01
11857,Divier,Farrag,9999-01-01
11864,Pradeep,Kriebel,9999-01-01
11871,Nalini,Sommen,9999-01-01
11872,Cheong,Riexinger,9999-01-01
11883,Nectarios,Bhattacharjee,1990-10-28
11894,Mitchel,Validov,9999-01-01
11897,Cordelia,Setlzner,9999-01-01
11906,Hideo,Boguraev,9999-01-01
11915,Miomir,Mawatari,9999-01-01
11931,Gunilla,Chiodo,9999-01-01
11933,Basil,Erman,9999-01-01
11949,Martijn,Harbusch,9999-01-01
11983,Jaana,Hedayat,9999-01-01
11987,Vidya,Schaar,1997-12-04
11987,Vidya,Schaar,1993-09-14
11988,Chinya,Chinin,2001-12-31
11993,Marit,Dalphin,9999-01-01
12011,Zhilian,Coorg,9999-01-01
12025,Jaewoo,Heiserman,1990-06-09
12033,Visit,Serot,1999-02-07
12036,Mads,Ratzlaff,1995-07-01
12036,Mads,Ratzlaff,9999-01-01
12037,Arunas,Katzenelson,9999-01-01
12050,Yuchang,Tchuente,9999-01-01
12052,Masako,Khasidashvili,1988-08-29
12062,Margareta,Worfolk,9999-01-01
12069,Ayonca,Burnard,9999-01-01
12070,Ger,Shokrollahi,9999-01-01
12076,Karlis,Siprelle,9999-01-01
12082,Xinan,Yamaashi,9999-01-01
12087,Weijing,Jumpertz,1993-03-24
12089,Bilhanan,Socorro,9999-01-01
12099,Nobuyoshi,Kuzuoka,9999-01-01
12103,Becky,Erie,1992-09-18
12112,Satyanarayana,Avouris,9999-01-01
12122,Satoru,Krone,9999-01-01
12123,Xiahua,Syrzycki,9999-01-01
12125,Shounak,Erman,9999-01-01
12125,Shounak,Erman,1999-09-01
12128,Yannik,Barreiro,1998-11-25
12149,Suebskul,Grandbois,9999-01-01
12159,Shem,Perly,9999-01-01
12165,Xiaobin,Maquelin,9999-01-01
12173,Adel,Nanard,2000-05-20
12183,Harngdar,Iisaku,9999-01-01
12192,Feiyu,Klyachko,9999-01-01
12205,Sushant,Rossi,9999-01-01
12206,Barton,Janetzko,9999-01-01
12218,Yaghout,Strooper,9999-01-01
12221,Vincent,Melter,9999-01-01
12222,Abdelwaheb,Holburn,9999-01-01
12223,Niteen,Koyama,9999-01-01
12247,Subbu,Penttonen,9999-01-01
12249,Eldridge,Sadowski,9999-01-01
12254,Chaitali,Stafford,1989-10-31
12256,Guadalupe,Reghbati,9999-01-01
12264,Mart,Pagter,9999-01-01
12270,Shakhar,Kornyak,9999-01-01
12272,Behnaam,Grandbois,9999-01-01
12274,Garnik,Papadias,1989-01-18
12276,Yongmin,Lenart,2001-09-25
12303,Godehard,Braccini,1988-07-19
12308,Mototsugu,Cronau,1996-09-20
12308,Mototsugu,Cronau,9999-01-01
12311,Susanne,Lubachevsky,9999-01-01
12312,Chenye,Velasco,1996-12-18
12327,DAIDA,Bruckman,9999-01-01
12335,Arnould,Genin,2000-06-19
12341,Rasiah,Luga,9999-01-01
12343,Sorina,Slaats,9999-01-01
12343,Sorina,Slaats,2000-09-03
12365,Kamakshi,Bisiani,9999-01-01
12373,Mooi,Driscoll,9999-01-01
12395,Sanjit,Felder,9999-01-01
12399,Mihalis,Luga,9999-01-01
12411,Shao,Ibel,9999-01-01
12413,Hugh,Gadepally,9999-01-01
12415,Uri,Sluis,1998-10-10
12417,Dannz,Spelt,9999-01-01
12422,Berhard,Demos,9999-01-01
12451,Pramod,Marzano,1995-03-18
12454,Kerryn,Farris,9999-01-01
12464,Shai,Milicic,9999-01-01
12475,Filipe,Roison,9999-01-01
12478,Yahiko,Hopewell,1998-12-11
12478,Yahiko,Hopewell,1997-09-05
12487,Mona,Reghbati,9999-01-01
12487,Mona,Reghbati,1998-12-11
12489,Arnould,Munck,9999-01-01
12490,Jackson,Muchinsky,9999-01-01
12493,Filipp,Menhardt,1988-12-04
12497,Stein,Penz,9999-01-01
12501,Morrie,Matheson,9999-01-01
12504,Adly,Rosaz,9999-01-01
12514,Tomofumi,Melter,9999-01-01
12528,Conor,Cincotta,9999-01-01
12534,Yongmao,Gerlach,9999-01-01
12541,Shih,Nanard,9999-01-01
12542,Kazuhide,Bouloucos,9999-01-01
12551,Jeane,Tzvieli,9999-01-01
12553,Aral,Vesna,9999-01-01
12557,Stafford,Kopetz,9999-01-01
12557,Stafford,Kopetz,1994-09-23
12589,Anoosh,Chleq,9999-01-01
12596,Breannda,Roisin,9999-01-01
12601,Ghassan,Simkin,9999-01-01
12608,Nectarios,Mondadori,9999-01-01
12635,Xinyu,Restivo,1995-04-07
12635,Xinyu,Restivo,9999-01-01
12637,Poorav,Karner,1999-01-08
12638,Yuqun,Seiwald,9999-01-01
12642,Suebskul,Gips,9999-01-01
12651,Pragnesh,Bael,9999-01-01
12662,Leucio,Alvarado,9999-01-01
12663,Nobuyoshi,Stellhorn,9999-01-01
12664,Zhonghua,Parveen,2001-03-12
12664,Zhonghua,Parveen,9999-01-01
12678,Carrsten,Borovoy,2000-04-22
12689,Luerbio,Boudaillier,9999-01-01
12691,Oddvar,Gils,9999-01-01
12694,Kazuhira,Luders,1998-05-30
12697,Uri,Brizzi,9999-01-01
12709,Ronghao,Botman,9999-01-01
12717,Tzu,Jiafu,9999-01-01
12722,Elliott,Cheshire,9999-01-01
12726,Fumitake,Panwar,9999-01-01
12729,Nahla,Rahier,2000-09-10
12729,Nahla,Rahier,9999-01-01
12730,Barry,Perl,1998-03-24
12731,Yongmao,Waymire,9999-01-01
12732,Mara,Takanami,9999-01-01
12734,Gil,Frijda,9999-01-01
12755,Rildo,Rodite,9999-01-01
12759,LiMin,Kuszyk,1996-01-02
12773,Jenwei,Lovengreen,9999-01-01
12775,Mariangiola,Berendt,1993-10-17
12775,Mariangiola,Berendt,2002-04-05
12790,Gunilla,Perl,9999-01-01
12795,Masoud,Fordan,9999-01-01
12798,Lillian,Beeson,9999-01-01
12803,Gad,Boissier,9999-01-01
12803,Gad,Boissier,1999-08-30
12815,Sushant,Junot,9999-01-01
12816,Freyja,Ramras,1999-09-08
12819,Mountaz,Gubsky,9999-01-01
12846,Krisda,Cyne,2001-01-15
12848,Kazuhide,Smeets,9999-01-01
12853,Mang,Brobst,1996-10-03
12863,Leif,Matheson,9999-01-01
12872,Marl,Schmittgen,9999-01-01
12876,Apostol,Goodrum,2000-12-24
12879,Baruch,Eugenio,9999-01-01
12888,Martien,Erni,1995-04-07
12890,Neven,Casley,9999-01-01
12893,Licheng,Crouzet,9999-01-01
12895,Roddy,Serot,9999-01-01
12905,Munehiro,Gecsei,9999-01-01
12922,Jacqueline,Porenta,1993-09-16
12926,Heekeun,Luby,9999-01-01
12937,Arup,Cincotta,1992-12-14
12940,Odinaldo,Farrar,9999-01-01
12941,Tommaso,Perelgut,9999-01-01
12949,Geoff,Asrin,9999-01-01
12951,Mohammad,Keirsey,1994-07-27
12951,Mohammad,Keirsey,1988-06-26
12972,Juyoung,Azevdeo,1990-08-07
12974,Gift,Frolund,1994-11-03
12977,Byong,Markovitch,9999-01-01
12983,Elliott,Hambrick,9999-01-01
13012,Florina,Harbusch,2002-05-24
13030,Yahiko,Kroll,9999-01-01
13046,Vivian,Stafford,9999-01-01
13047,Atilio,Chelton,9999-01-01
13049,Fan,Naudin,1986-01-08
13062,Xinglin,Baak,2000-05-31
13075,Rosella,Morrin,9999-01-01
13075,Rosella,Morrin,1990-09-02
13076,Deniz,Skafidas,9999-01-01
13096,Ibibia,Armand,9999-01-01
13103,Srinidhi,Ellozy,9999-01-01
13113,Kwun,Landherr,1996-10-07
13124,Quingbo,Garnick,9999-01-01
13133,Guther,Senzako,1991-06-13
13133,Guther,Senzako,9999-01-01
13134,Lorien,Chepyzhov,9999-01-01
13144,Persi,Nollmann,9999-01-01
13146,Haldon,Erie,9999-01-01
13147,Shichao,Ginesta,9999-01-01
13156,Akeel,Millington,9999-01-01
13165,Lucian,Benner,9999-01-01
13168,Munir,Stentiford,9999-01-01
13170,Cheong,Bernardeschi,1998-09-21
13170,Cheong,Bernardeschi,9999-01-01
13171,Anoosh,Birnbaum,9999-01-01
13173,Arve,Horswill,9999-01-01
13179,Moty,Janocha,9999-01-01
13182,Kokou,Rodite,9999-01-01
13186,Kyoichi,Barbanera,9999-01-01
13192,Rosita,Flowers,9999-01-01
13192,Rosita,Flowers,2001-01-19
13202,Aram,Scharstein,9999-01-01
13210,Jianhua,Klassen,9999-01-01
13210,Jianhua,Klassen,1997-08-10
13213,Hein,Billawala,9999-01-01
13221,Premsyl,Famili,1998-10-21
13232,Mitchel,Fujisaki,9999-01-01
13233,Alselm,Chvatal,9999-01-01
13238,Ebru,Foote,9999-01-01
13240,King,Pileggi,9999-01-01
13243,Fay,Huxford,1999-11-11
13250,Zeydy,Schusler,9999-01-01
13272,Arun,Jiang,9999-01-01
13276,Yechiam,Seuren,9999-01-01
13288,Muneo,Broomell,9999-01-01
13291,Georg,Stamatiou,9999-01-01
13299,Guiseppe,Butner,1998-09-13
13302,Mack,Alencar,9999-01-01
13305,Bikash,Herath,1995-01-19
13315,Sakthirel,Stroustrup,9999-01-01
13332,Nidapan,Pearson,9999-01-01
13333,Yoshinari,Hennebert,9999-01-01
13333,Yoshinari,Hennebert,1998-08-30
13341,Bodh,Doering,9999-01-01
13343,Heon,Usery,9999-01-01
13343,Heon,Usery,1995-05-06
13368,Kiyokazu,Klassen,9999-01-01
13371,Nakhoon,Riexinger,9999-01-01
13373,Juichirou,Naumovich,1993-04-05
13373,Juichirou,Naumovich,9999-01-01
13385,Claudi,Buchter,9999-01-01
13386,Khosrow,Sgarro,9999-01-01
13389,Divine,Cmelik,9999-01-01
13392,Fumitake,Beidas,9999-01-01
13396,Chuanyi,Aumann,9999-01-01
13402,Augustine,Dulli,2002-02-26
13402,Augustine,Dulli,9999-01-01
13405,Randy,Baba,9999-01-01
13407,Gio,Chenoweth,9999-01-01
13408,Sreekrishna,Lagarias,9999-01-01
13415,Nathalie,Speer,9999-01-01
13422,Vishwani,Gerlach,1991-11-21
13422,Vishwani,Gerlach,9999-01-01
13442,Giordano,Miake,9999-01-01
13443,Mayuko,Puppo,9999-01-01
13445,Renee,Dehkordi,9999-01-01
13451,Gretta,Weiland,9999-01-01
13457,Shooichi,Parfitt,9999-01-01
13458,Feipei,Nivat,2002-02-02
13458,Feipei,Nivat,9999-01-01
13463,Theron,Berstel,9999-01-01
13465,Sasan,Rehfuss,9999-01-01
13493,Uinam,Jullig,9999-01-01
13504,Parto,Mandell,9999-01-01
13521,Jaewoo,Tasistro,1991-02-18
13524,Chaoyi,Porotnikoff,9999-01-01
13535,Arunas,Schlenzig,9999-01-01
13546,Aimee,Brookner,9999-01-01
13549,Matk,Koprowski,9999-01-01
13552,Ingmar,Capobianchi,9999-01-01
13560,Sibyl,Jeong,1998-03-12
13576,Jungsoon,Engberts,9999-01-01
13576,Jungsoon,Engberts,1997-02-18
13578,Tadahiko,Christianini,1997-04-13
13605,Dmitry,Encarnacion,9999-01-01
13621,Fei,Haddadi,9999-01-01
13624,Zhigen,Yurek,9999-01-01
13629,Dzung,Trelles,9999-01-01
13648,Zejun,Lamba,9999-01-01
13651,Stamatina,Plesums,1990-03-31
13653,Kristen,Iivonen,9999-01-01
13670,Moti,Takanami,9999-01-01
13680,Denny,Speer,9999-01-01
13684,Elvia,Christ,2002-03-30
13685,Weicheng,Hockney,9999-01-01
13697,Shuichi,Weedon,9999-01-01
13698,Domenico,Mitchem,1997-04-20
13704,Vishu,Kumaresan,9999-01-01
13721,Sugwoo,Delgrossi,9999-01-01
13727,Vitali,Merey,9999-01-01
13738,Bangqing,Mitchem,9999-01-01
13747,Masaru,Capobianchi,1987-12-10
13766,Tremaine,Heemskerk,9999-01-01
13768,Sedat,Lovengreen,1990-09-18
13769,Yakichi,Trogemann,9999-01-01
13775,Arve,Maierhofer,9999-01-01
13786,Takushi,Berendt,9999-01-01
13787,Xiaobin,Sinicrope,9999-01-01
13788,Takahira,Furedi,1997-04-12
13792,Valery,Sury,9999-01-01
13795,Mayuri,Gewali,1988-03-13
13796,Paloma,Thorelli,9999-01-01
13801,Shih,Mayerwieser,1999-06-25
13809,Kiyotoshi,Basagni,9999-01-01
13815,Guadalupe,Plotkin,9999-01-01
13825,Arlette,Pell,9999-01-01
13841,Christophe,Spinelli,1995-10-19
13841,Christophe,Spinelli,9999-01-01
13842,Juichirou,Cichocki,9999-01-01
13846,Guiseppe,Welham,9999-01-01
13853,Mingsen,Roohalamini,9999-01-01
13859,Anoosh,Fujisawa,9999-01-01
13883,Kwangyoen,Barreiro,1991-08-26
13884,Kensei,Swift,9999-01-01
13894,Ult,Schonegge,9999-01-01
13904,Youngkon,Cairo,9999-01-01
13914,Serge,Albarhamtoshy,1989-01-15
13916,Vidya,Wynblatt,2002-01-12
13930,Sukumar,Chartres,2000-04-20
13934,Shiv,Bratsberg,9999-01-01
13942,Elzbieta,Esteva,9999-01-01
13951,Mooi,Genther,9999-01-01
13960,Nechama,Hettesheimer,9999-01-01
13962,Maris,Ghelli,9999-01-01
13966,Boguslaw,Cooman,9999-01-01
13969,Jianwen,Chandrasekhar,9999-01-01
13979,Turgut,Highland,1997-12-26
13986,Geraldo,Ramsey,1989-01-19
13990,Deborah,Schapiro,9999-01-01
13992,Ulises,Kenevan,9999-01-01
13999,Florian,Crouzet,9999-01-01
14005,Vojin,Stellhorn,9999-01-01
14005,Vojin,Stellhorn,1996-10-04
14015,Manibrata,Picaronny,1998-08-25
14015,Manibrata,Picaronny,9999-01-01
14034,Aloys,Seghrouchni,9999-01-01
14041,Shan,DeMori,9999-01-01
14045,Ymte,Alpin,1997-08-12
14067,Godehard,Trachtenberg,9999-01-01
14088,Mori,Leslie,9999-01-01
14102,Feixiong,Jording,1991-02-21
14107,Xiahua,Rindone,9999-01-01
14111,Leszek,Cummings,9999-01-01
14113,Along,Herber,1988-01-24
14118,Kasturi,Anido,9999-01-01
14139,Sachin,Conry,1996-12-26
14167,Adas,Hertweck,9999-01-01
14191,Jiann,Luby,9999-01-01
14197,Adin,Chachaty,2000-12-24
14209,Masanao,Kusakabe,9999-01-01
14220,Tomofumi,Pargas,9999-01-01
14224,Guther,Conta,1986-10-23
14232,Masali,Bojadziev,9999-01-01
14236,Xuedong,Angiulli,9999-01-01
14237,Abdulla,Gerlach,1998-03-22
14237,Abdulla,Gerlach,9999-01-01
14242,Sudhanshu,Benaini,9999-01-01
14254,Chikara,Narahara,1996-11-14
14257,Kwok,Massonet,9999-01-01
14257,Kwok,Massonet,2000-07-13
14275,Tristan,Aseltine,2000-11-17
14287,Masali,Highland,1999-11-10
14287,Masali,Highland,1995-02-09
14289,Paraskevi,Gist,2001-05-09
14290,Miyeon,Olivero,9999-01-01
14292,Susanna,Vigier,9999-01-01
14293,Qunsheng,Middleton,1990-09-12
14298,Chriss,Granlund,9999-01-01
14310,Marlo,Leuchs,9999-01-01
14320,Sreenivas,Schaar,9999-01-01
14322,Shem,Kakkad,9999-01-01
14323,Golgen,Leslie,9999-01-01
14323,Golgen,Leslie,1997-10-22
14340,Vitaly,Wixon,9999-01-01
14344,Otilia,Buescher,9999-01-01
14345,Barry,Ramsey,1990-07-15
14354,Mong,Bojadziev,9999-01-01
14360,Janche,Erbe,9999-01-01
14372,Saniya,Srimani,2002-06-02
14372,Saniya,Srimani,9999-01-01
14380,Shigeu,Heemskerk,1997-01-20
14380,Shigeu,Heemskerk,1990-01-27
14384,Tomofumi,Holburn,9999-01-01
14422,Toshimo,Gadepally,9999-01-01
14434,Elvis,Maginnis,9999-01-01
14439,Raimond,Woycyznski,9999-01-01
14441,Divine,Manders,1990-05-25
14460,Yagil,Lueh,9999-01-01
14478,Munehiro,Boissier,9999-01-01
14481,Moti,Lammel,9999-01-01
14483,Supot,Marrevee,9999-01-01
14486,Indrajit,Birdsall,9999-01-01
14498,Xiong,Selenyi,9999-01-01
14501,Taizo,Kroft,9999-01-01
14509,Danil,Aloia,9999-01-01
14513,Samphel,Barreiro,9999-01-01
14513,Samphel,Barreiro,1991-02-04
14514,Fay,Denny,1997-03-14
14515,Kazuhisa,Versino,9999-01-01
14516,Kristian,Underwood,9999-01-01
14518,Patricia,Peir,9999-01-01
14522,Chuanyi,Ranta,9999-01-01
14533,Kensei,Borovoy,1999-11-24
14537,Babette,Engelmann,9999-01-01
14539,Ashish,Danlos,1998-12-17
14552,Ibibia,Snyers,9999-01-01
14556,Fatemeh,Zultner,9999-01-01
14560,Elrique,Driscoll,9999-01-01
14581,Gao,Condotta,9999-01-01
